,date,year,stage,home_team,away_team,home_score,away_score,outcome,winner,decided_by_shootout,is_host_match,neutral,city,country,home_team_rank,away_team_rank
269,2010-06-19,2010,group,Netherlands,Japan,1,0,home_win,Netherlands,False,False,True,Durban,South Africa,4,45
270,2010-06-20,2010,group,Brazil,Ivory Coast,3,1,home_win,Brazil,False,False,True,Johannesburg,South Africa,1,27
271,2010-06-20,2010,group,Italy,New Zealand,1,1,draw,,False,False,True,Nelspruit,South Africa,5,78
272,2010-06-20,2010,group,Slovakia,Paraguay,0,2,away_win,Paraguay,False,False,True,Bloemfontein,South Africa,34,31
273,2010-06-21,2010,group,Chile,Switzerland,1,0,home_win,Chile,False,False,True,Port Elizabeth,South Africa,18,24
274,2010-06-21,2010,group,Portugal,North Korea,7,0,home_win,Portugal,False,False,True,Cape Town,South Africa,3,105
275,2010-06-21,2010,group,Spain,Honduras,2,0,home_win,Spain,False,False,True,Johannesburg,South Africa,2,38
276,2010-06-22,2010,group,Greece,Argentina,0,2,away_win,Argentina,False,False,True,Polokwane,South Africa,13,7
277,2010-06-22,2010,group,Mexico,Uruguay,0,1,away_win,Uruguay,False,False,True,Rustenburg,South Africa,17,16
278,2010-06-22,2010,group,Nigeria,South Korea,2,2,draw,,False,False,True,Durban,South Africa,21,47
279,2010-06-22,2010,group,South Africa,France,2,1,home_win,South Africa,False,True,False,Bloemfontein,South Africa,83,9
280,2010-06-23,2010,group,Australia,Serbia,2,1,home_win,Australia,False,False,True,Nelspruit,South Africa,20,15
281,2010-06-23,2010,group,Ghana,Germany,0,1,away_win,Germany,False,False,True,Johannesburg,South Africa,32,6
282,2010-06-23,2010,group,Slovenia,England,0,1,away_win,England,False,False,True,Port Elizabeth,South Africa,25,8
283,2010-06-23,2010,group,United States,Algeria,1,0,home_win,United States,False,False,True,Pretoria,South Africa,14,30
284,2010-06-24,2010,group,Cameroon,Netherlands,1,2,away_win,Netherlands,False,False,True,Cape Town,South Africa,19,4
285,2010-06-24,2010,group,Denmark,Japan,1,3,away_win,Japan,False,False,True,Rustenburg,South Africa,36,45
286,2010-06-24,2010,group,Paraguay,New Zealand,0,0,draw,,False,False,True,Polokwane,South Africa,31,78
287,2010-06-24,2010,group,Slovakia,Italy,3,2,home_win,Slovakia,False,False,True,Johannesburg,South Africa,34,5
288,2010-06-25,2010,group,Chile,Spain,1,2,away_win,Spain,False,False,True,Pretoria,South Africa,18,2
289,2010-06-25,2010,group,North Korea,Ivory Coast,0,3,away_win,Ivory Coast,False,False,True,Nelspruit,South Africa,105,27
290,2010-06-25,2010,group,Portugal,Brazil,0,0,draw,,False,False,True,Durban,South Africa,3,1
291,2010-06-25,2010,group,Switzerland,Honduras,0,0,draw,,False,False,True,Bloemfontein,South Africa,24,38
292,2010-06-26,2010,knockout,United States,Ghana,1,2,away_win,Ghana,False,False,True,Rustenburg,South Africa,14,32
293,2010-06-26,2010,knockout,Uruguay,South Korea,2,1,home_win,Uruguay,False,False,True,Port Elizabeth,South Africa,16,47
294,2010-06-27,2010,knockout,Argentina,Mexico,3,1,home_win,Argentina,False,False,True,Johannesburg,South Africa,7,17
295,2010-06-27,2010,knockout,Germany,England,4,1,home_win,Germany,False,False,True,Bloemfontein,South Africa,6,8
296,2010-06-28,2010,knockout,Brazil,Chile,3,0,home_win,Brazil,False,False,True,Johannesburg,South Africa,1,18
297,2010-06-28,2010,knockout,Netherlands,Slovakia,2,1,home_win,Netherlands,False,False,True,Durban,South Africa,4,34
298,2010-06-29,2010,knockout,Paraguay,Japan,0,0,draw,Paraguay,True,False,True,Pretoria,South Africa,31,45
299,2010-06-29,2010,knockout,Spain,Portugal,1,0,home_win,Spain,False,False,True,Cape Town,South Africa,2,3
300,2010-07-02,2010,knockout,Netherlands,Brazil,2,1,home_win,Netherlands,False,False,True,Port Elizabeth,South Africa,4,1
301,2010-07-02,2010,knockout,Uruguay,Ghana,1,1,draw,Uruguay,True,False,True,Johannesburg,South Africa,16,32
302,2010-07-03,2010,knockout,Argentina,Germany,0,4,away_win,Germany,False,False,True,Cape Town,South Africa,7,6
303,2010-07-03,2010,knockout,Paraguay,Spain,0,1,away_win,Spain,False,False,True,Johannesburg,South Africa,31,2
304,2010-07-06,2010,knockout,Uruguay,Netherlands,2,3,away_win,Netherlands,False,False,True,Cape Town,South Africa,16,4
